piramide_1;piramide_2;mes;año;ues;producto;consumo
6 Otros;No Afiliada;9;2018;RyT;Club El Cubo;32349343
4 Micro;4.1 Estándar;2;2018;RyT;Club El Cubo;10011829
6 Otros;No Afiliada;6;2018;RyT;Hotel Peñalisa;14154101
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2017;MS;SUPERMERCADOS;1229773
4 Micro;4.1 Estándar;10;2018;RyT;Club El Cubo;5297926
4 Micro;4.1 Estándar;3;2018;RyT;Club El Cubo;62775344
3 Empresas Pymes;3.2 VIP Estándar;4;2018;RyT;Hotel Paipa;23566047
3 Empresas Pymes;3.1 VIP;2;2018;RyT;Programas Deportivos;130200
2 Emp Medio;2.2 Silver;6;2018;RyT;Club Bellavista;19577617
1 Emp Grandes;1.2 Premium;1;2018;AyB;CATERING;1550000
2 Emp Medio;2.2 Silver;11;2018;RyT;Programas Deportivos;55101813
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;10;2018;RyT;Club Bellavista;28125299
2 Emp Medio;2.1 Gold;12;2018;RyT;Club la Colina;50404121
6 Otros;No Afiliada;12;2017;MS;SUPERMERCADOS;12750525238
1 Emp Grandes;1.1 Platinum;4;2018;RyT;Programas Deportivos;17274866
3 Empresas Pymes;3.1 VIP;12;2018;RyT;Club la Colina;55865684
2 Emp Medio;2.1 Gold;12;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;1048553
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Otros;2685428
3 Empresas Pymes;3.1 VIP;5;2018;MS;SUPERMERCADOS;745109830
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;RyT;Hotel Peñalisa;587555
1 Emp Grandes;1.1 Platinum;11;2018;AyB;CATERING;10989020
1 Emp Grandes;1.2 Premium;6;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;1528385
2 Emp Medio;2.2 Silver;1;2018;MS;DROGUERIAS;562062144
3 Empresas Pymes;3.1 VIP;9;2018;Educación y Cultura;TEATRO;35814347,56
6 Otros;No Afiliada;11;2018;RyT;Otros;12450579
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;5;2018;RyT;Programas Deportivos;50420
4 Micro;4.5 Transaccional;2;2017;MS;DROGUERIAS;74524945
4 Micro;4.5 Transaccional;9;2017;MS;DROGUERIAS;83479569
3 Empresas Pymes;3.2 VIP Estándar;12;2018;Educación y Cultura;Campus;26125128
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Club Bellavista;5325459
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;1;2018;RyT;Club El Cubo;11552348
4 Micro;4.1 Estándar;7;2018;MS;SUPERMERCADOS;74475442
2 Emp Medio;2.2 Silver;8;2018;RyT;Hotel Paipa;3042924
4 Micro;4.5 Transaccional;12;2017;MS;#;8003
3 Empresas Pymes;3.1 VIP;2;2018;MS;SUPERMERCADOS;480750782
4 Micro;4.5 Transaccional;3;2017;Vivienda;SubsidioEntregado;398162892
3 Empresas Pymes;3.1 VIP;5;2018;RyT;Hotel Alcaravan;419444
6 Otros;No Afiliada;11;2018;RyT;Hotel Bosques de Athan;8010372
1 Emp Grandes;1.1 Platinum;1;2018;Educación y Cultura;ARTES;100570171
1 Emp Grandes;1.2 Premium;6;2018;RyT;Otros;24026421
5 Micro;5.1 Colsubsidio;9;2018;AyB;CATERING;8574441
2 Emp Medio;2.2 Silver;7;2018;Salud;CHEQUEOS;3329786
2 Emp Medio;2.2 Silver;12;2018;RyT;Club Calle 195;11374789
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;6;2018;MS;DROGUERIAS;2295385
2 Emp Medio;2.2 Silver;3;2018;RyT;Eventos y Convenciones;19701004
2 Emp Medio;2.2 Silver;7;2018;Salud;;41616400
2 Emp Medio;2.2 Silver;3;2018;MS;SUPERMERCADOS;5364643553
1 Emp Grandes;1.1 Platinum;6;2018;RyT;Club El Cubo;28412362
6 Otros;No afiliada;12;2017;MS;SUPERMERCADOS;134952933
3 Empresas Pymes;3.2 VIP Estándar;8;2018;RyT;Eventos y Convenciones;50791710
4 Micro;4.6 Transaccional - Facultativo;1;2018;MS;DROGUERIAS;91744543
5 Micro;5.1 Colsubsidio;6;2018;RyT;Club El Cubo;6334454
4 Micro;4.6 Transaccional - Facultativo;11;2018;MS;DROGUERIAS;133230
2 Emp Medio;2.2 Silver;5;2018;RyT;Programas Deportivos;18237099
4 Micro;4.7 Transaccional - Independiente;6;2017;MS;SUPERMERCADOS;776498
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;9;2017;RyT;;5042
2 Emp Medio;2.1 Gold;3;2018;RyT;Club Bellavista;6364914
4 Micro;4.5 Transaccional;11;2018;Salud;;3118200
3 Empresas Pymes;3.2 VIP Estándar;2;2017;MS;SUPERMERCADOS;4091612
1 Emp Grandes;1.2 Premium;7;2018;Educación y Cultura;ASESORIAS PARA LA CALIDAD;4487440
1 Emp Grandes;1.2 Premium;3;2018;Salud;;52684800
1 Emp Grandes;1.2 Premium;2;2018;Educación y Cultura;EDUCACION INICIAL;40176621,73
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;7;2018;MS;DROGUERIAS;1448139
3 Empresas Pymes;3.2 VIP Estándar;6;2017;MS;SUPERMERCADOS;697669
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;7;2018;RyT;Club la Colina;470672
4 Micro;4.5 Transaccional;6;2018;Educación y Cultura;Campus;13175000
2 Emp Medio;2.2 Silver;9;2018;RyT;Hotel Paipa;6025448
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Hotel Paipa;8159791
1 Emp Grandes;1.2 Premium;11;2018;RyT;Eventos y Convenciones;127233707
2 Emp Medio;2.1 Gold;1;2018;AyB;CATERING;17934323
3 Empresas Pymes;3.2 VIP Estándar;10;2018;RyT;Club Bellavista;28387435
6 Otros;No Afiliada;7;2017;RyT;;2957321365
1 Emp Grandes;1.1 Platinum;8;2018;AyB;CATERING;62859462
6 Otros;No Afiliada;5;2018;RyT;Hotel Alcaravan;2425653
6 Otros;No Afiliada;4;2018;AyB;CAFÉ DE LAS LETRAS CALLE 26;20418562
3 Empresas Pymes;3.2 VIP Estándar;11;2018;RyT;Programas Deportivos;33141262
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;4;2018;RyT;Club la Colina;9255135
6 Otros;No Afiliada;2;2018;MS;SUPERMERCADOS;1517151261
3 Empresas Pymes;3.1 VIP;5;2018;RyT;Club Calle 195;16743943
6 Otros;No Afiliada;11;2018;RyT;Club Bellavista;105461764
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;8;2018;RyT;Hotel Bosques de Athan;611665
3 Empresas Pymes;3.2 VIP Estándar;11;2018;Salud;;25221050
1 Emp Grandes;1.2 Premium;4;2018;RyT;Club la Colina;17424154
4 Micro;4.5 Transaccional;11;2017;Vivienda;Fecha Entrega;558456000
4 Micro;4.5 Transaccional;6;2017;Vivienda;SubsidioEntregado;201904363
2 Emp Medio;2.2 Silver;6;2018;MS;SUPERMERCADOS;5284904955
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;3;2018;MS;DROGUERIAS;2868874
4 Micro;4.2 Trans. Mas de 100 Trab.;11;2017;Vivienda;SubsidioEntregado;17705208
4 Micro;4.7 Transaccional - Independiente;1;2017;MS;SUPERMERCADOS;979481
6 Otros;No Afiliada;9;2018;AyB;CATERING;35699574
1 Emp Grandes;1.2 Premium;8;2018;MS;DROGUERIAS;43497175
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;4;2017;Vivienda;SubsidioEntregado;74212430
4 Micro;4.1 Estándar;6;2018;RyT;Club Bellavista;5397259
4 Micro;4.1 Estándar;4;2018;AyB;CATERING;1719496
1 Emp Grandes;1.1 Platinum;1;2018;RyT;Otros;4408251
1 Emp Grandes;1.2 Premium;7;2018;AyB;SALONES CALLE 26;934471
3 Empresas Pymes;3.2 VIP Estándar;7;2017;MS;SUPERMERCADOS;900921
4 Micro;4.4 Trans.Natural Ent. 11 a 99 Trab.;12;2017;MS;DROGUERIAS;2663364
2 Emp Medio;2.1 Gold;7;2018;RyT;Piscilago;29950818
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;6;2018;RyT;Club Bellavista;8970153
4 Micro;4.6 Transaccional - Facultativo;4;2018;MS;SUPERMERCADOS;2133924186
6 Otros;No Afiliada;7;2018;AyB;SALONES CALLE 26;2685923
1 Emp Grandes;1.1 Platinum;4;2018;Educación y Cultura;TEATRO;57597255,45
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;3;2017;MS;DROGUERIAS;74601
3 Empresas Pymes;3.2 VIP Estándar;9;2017;Vivienda;SubsidioAsignado;44263020
4 Micro;4.3 Trans.Juridica Ent. 11 a 99 Trab.;2;2018;MS;DROGUERIAS;5159445
